Code name,Actual name,Description
-DO NOT EDIT THIS FIELD-,Actual Name,Description of the object
Blocks
###tile.musicBlock.0.1,Order Drum,"This drum is use for ordering groups of dinosaurs.
Right click with anything in hand: Switch order mode(Follow/Free move/Stay)
Left Click with stick in hand: Send current order to triceratops within 30 blocks.
Left Click with bone in hand: Send current order to velociraptors within 30 blocks.
Left Click with arrow in hand: Send current order to pterosaurs within 30 blocks.
Left Click with Skullstick in hand: Don't do this when there are adult T-rexes around."
tile.fossil.*.1,Fossil,"Fossil blocks look similar to stone but are much harder to break.   When you mine them, you have a chance of finding an ancient artifact, such as a fossil, relic, broken swords, or even an ancient gem."
tile.skull.*.1,Skull,"An ancient skull left behind by the Minecraftians of long ago.  It can be used as a rather macabre decoration, especially with a torch placed inside - or they can just be ground down into bonemeal, if you care to risk the wrath of the ancestors."
tile.SkullLantern.*.1,SkullLantern,This creepy nightlight is more likely to give you nightmares than keep them away. 
tile.analyzerIdle.*.1,Analyzer,"This machine is used to break down ancient fossils and search for anything of value they might contain.  With luck and a bit of mad science, it might even be possible to recover usable DNA fragments from the bones.  The analyzer can also recover DNA from modern lifeforms by placing bits of meat in the machine's recepticle.  Lastly, the Analyzer will also clean up and restore relics placed within to their pristine state, converting them to decorative stoneboards."
tile.analyzerActive.*.1,Analyzer,"This machine is used to break down ancient fossils and search for anything of value they might contain.  With luck and a bit of mad science, it might even be possible to recover usable DNA fragments from the bones.  The analyzer can also recover DNA from modern lifeforms by placing bits of meat in the machine's recepticle.  Lastly, the Analyzer will also clean up and restore relics placed within to their pristine state, converting them to decorative stoneboards."
tile.cultivateIdle.*.1,Cultivate,"This highly advanced machine is used to develop DNA acquired from the Analyzer into viable life forms.  It is a ""bio-furnace"" of sorts - when DNA is placed in the top slot, the cultivator will automatically begin sciencing it into a usable state.  However, this process is inexact and leaves many holes.  To ensure proper operation of the gene-splicing functionality of the Analyzer, biological matter must be ""burned"" as a ""fuel"".  Most any organic substance will suffice for this purpose, including eggs, meats, fish, and even milk.  If the science is good, a viable egg may be produced after some time.  If the science is bad, however, there is no telling what type of monstrosity could come forth... "
tile.cultivateActive.*.1,Cultivate,"This highly advanced machine is used to develop DNA acquired from the Analyzer into viable life forms.  It is a ""bio-furnace"" of sorts - when DNA is placed into the top slot, the cultivator will automatically begin sciencing the ancient DNA into a usable state.  However, this process is inexact and leaves many holes.  To ensure proper operation, biological matter must be used as a fuel.  Most any organic substance will suffice for this purpose, including eggs, meats, fish, and even milk.  If the science is good, a viable egg may be produced after some time.  If the science is bad, however, there is no telling what type of monstrosity could come forth... "
