Code name,Actual name,Description
"-DO NOT EDIT THIS FIELD- ""type.name.dmgval.version""",This is the Actual Name of a Object,Description of the object
Item/Block Description detection are fucked. Leave them alone for now.
"IF YOU USE THE INFO THE WIKI. PLEASE CHANGE THEM TO BE MORE CONVENEINT AND NOT USING EVERYDAY SENTANCE(heyo, etc)"


Ore related Items and Blocks

item.itemDustCoal.*.1,Coal Dust,Used for making Carbon Plates and Industrial Diamonds.
item.itemDustIron.*.1,Iron Dust,Smelted into Iron Ingots
item.itemDustGold.*.1,Gold Dust,Smelted into Gold Ingots
item.itemDustCopper.*.1,Copper Dust,Smelted into Copper Ingots.  3 Copper Dusts can be combined with one Tin Dust to make Bronze Dust.
item.itemDustTin.*.1,Tin Dust,Smelted into Tin Ingots.  One Tin Dust can be combined with 3 Copper Dusts to make Bronze Dust.
item.itemDustBronze.*.1,Bronze Dust,Smelted into Bronze Ingots. Made from 3 tin dusts and 1 copper dust.
item.itemDustIronSmall.*.1,Small Pile of Iron dust,Used for making an Iron Dust Pile
item.itemIngotAdvIron.*.1,Refined Iron Ingot,An ingot of Refined Iron. Used in circuits and other industrial applications.
item.itemIngotCopper.*.1,Copper Ingot,An ingot of Copper. Used for cables and other industrial applications.
item.itemIngotTin.*.1,Tin Ingot,An ingot of Tin. Used for cells and other industrial applications.
item.itemIngotBronze.*.1,Bronze Ingot,An ingot of Bronze. Used for wrenches and other industrial applications.
item.itemIngotAlloy.*.1,Mixed Metal Ingot,An ingot of Mixed Metal. Used in the production of Advanced Alloy. That's it.
item.itemOreUran.*.1,Uranium Ore,"Raw Resource.  Place in a compressor to produce Refined Uranium, which can be used as a nuclear fuel."
item.itemIngotUran.*.1,Refined Uranium,A fuel used for Nuclear reactor. May contain some radiation!
item.itemDustSilver.*.1,Silver Dust,Dust of silver. Smelt into silver ingots.
tile.blockOreCopper.*.1,Copper Ore,Just the ore of the copper. Nothing much. Macerate into two copper dusts. Commonly found near the surface.
tile.blockOreTin.*.1,Tin Ore,Just the ore of the tin. Nothing much. Macerate into two tin dusts.
tile.blockOreUran.*.1,Uranium Ore,The ore block of Uranium. This is not the Item version.
tile.blockMetalCopper.*.1,Copper Block,Block of copper.
tile.blockMetalTin.*.1,Tin Block,Block of tin.
tile.blockMetalBronze.*.1,Bronze Block,Block of Bronze.
tile.blockMetalUranium.*.1,Uranium Block,Block containing Uranium.

Machines and Generators

tile.blockIronFurnace.*.1,Iron Furnace,"An improved version of the normal furnace, it is more fuel efficient, using 1 coal/10 items, and is also used in various crafting recipes."
tile.blockMachine.*.1,Machine Block,Used in the making of basic machines.
tile.blockAdvMachine.*.1,Advanced Machine Block,Used in the making of advanced machines.
tile.blockElecFurnace.*.1,Electric Furnace,"An improved version of the Iron Furnace, it runs off electricity and operates at the same speed as an iron furnace.
Maximum Input: 32 EU/t"
tile.blockMacerator.*.1,Macerator,"The Macerator is an all purpose grinding machine, capable of breaking down many ores and other items into their base components. They're capable of turning ores into 2 dusts of the ore.
Maximum Input: 32 EU/t"
tile.blockCompressor.*.1,Compressor,"The Compressor is commonly used to craft Advanced Alloys, Carbon Plates, Industrial Diamonds, and Compressed Plantclumps. It can also make snowballs and ice. In addition, it is used for the intermediate stages of crafting many items. The Compressor has a pressure of over 4000 Gibbl.  That's a lot!
Maximum Input: 32 EU/t"
tile.blockExtractor.*.1,Extractor,"The Extractor is used to extract Rubber from Resin, as well as Coalfuel Cells from H. Coal Cells and Biofuel Cells from Bio Cells.
Maximum Input: 32 EU/t"
tile.blockCanner.*.1,Canning Machine,"The Canning Machine puts food into Tin Cans, which unlike normal food, can be stacked up to 64. It also is used to refill Fuel Cans and Jetpacks.
Maximum Input: 32 EU/t"
tile.blockRecycler.*.1,Recycler,"The Recycler is a machine that can consume any block or item. During operation, it has a small chance of producing Some random scrap, which has further uses.
Maximum Input: 32 EU/t"
tile.blockInduction.*.1,Induction Furnace,"The Induction Furnace is an advanced version of the Electro Furnace. It has the ability to process 2 stacks of items simultaneously. Doing so will also save 50% of the energy that would have been used had every stack been smelted by itself. The hotter the furnace gets, the faster the smelting goes.
Maximum input: 128 EU/t"
tile.blockMatter.*.1,Mass Fabricator,"The Mass Fabricator is an advanced machine that requires 1,000,000 EU to perform its function. It is a considerably high-cost piece of technology that is capable of producing the mysterious and futuristic UU-Matter. This material in turn is capable of being formed into almost anything in Minecraft, with some exceptions, and can be used to craft extremely futuristic devices and equipment.  You can greatly speed up the matter-generation process by putting scrap in the Fabricator.
Maximum Input: 512EU/t"
tile.blockTerra.*.1,Terraformer,"So what do you do with all the Advanced Machines and Advanced Circuits you have lying around?  Well, you build something new. Something amazing. Something incredibly future-like with immense resource costs!

The Terraformer!!!

To operate, the Terraformer must be powered by cable (for example from an MFE). To tell a Terraformer what it is actually supposed to do, you must craft a TFBP and program it. The terraformer can work very energy-efficiently, and depending on your choice of program, can even last multiple DAYS until running out of power. On the other hand, it will consume all the power it can get and may drain VAST amounts of energy if you allow it to."
tile.blockMiner.*.1,Miner,"The Automated Miner allows you to mine Ores from the surface without going into caves or using mining techniques such as branch, strip or stair case mining.  The miner must be supplied with Mining Pipe and power to function, as well as an OD or OV scanner to set the horizontal range it will process. "
tile.blockMiningPipe.*.1,Mining Pipe,Mining Pipes are used by the Automated Miner for digging down
tile.blockMiningTip.*.1,Mining Pipe,Mining Pipes are used by the Automated Miner for digging down
tile.blockPump.*.1,Pump,The Pump is a tier 2 technology machine capable of absorbing liquids and compressing them into a cell.
tile.blockMagnetizer.*.1,Magnetizer,"The Magnetizer can be used to turn Iron Fences stacked onto one another into a powerful elevator. Upon powering the Magnetizer, it idles without consuming any EU. "
tile.blockElectrolyzer.*.1,Electrolyzer,"Put the Electrolyzer next to an MFE or MFSU and it'll take some power to convert Water Cells into Electrolyzed Water Cells. Electrolyzed Water Cells can be used to store power for later usage.
Maximum Input: 128 with MFE or 512 with MFSU"
tile.blockGenerator.*.1,Generator,"Generators are used to either supply direct power to machines or charge RE Batteries. The basic Generator operates on conventional fuel, which includes most wooden items, coal, certain plants, and scrap.
Output: 10EU/t."
