Code name,Actual name,Description
 -DO NOT EDIT THIS FIELD-,Description of the object,Description of the object.
Directory,Use find to quick travel to specific mods,"This sheet is for mods that have less then 30 entries, or groups of mods that share less then 30 entries between them."
Risugami's Mods
Hot Air Balloons
Fireworks,,Adds a firework launcher to the game that can be used with redstone.
Laser Mod,,Adds multiple types of lasers to the game.
Wireless Redstone
Crafting Table II
Mine Plus
Moar Nether
TheApathetic's Mods
Craft Guide
Zeppelin
Peronix's Mods
Baby Animals

RISUGAMI'S MODS
Shelves
tile.shelf.0.1,Wooden Shelf,A shelf made of Wood. Show your Items at the shelf!
tile.shelf.4.1,Stone Shelf,A shelf made of Stone. Show your Items at the shelf!
tile.shelf.8.1,Brick Shelf,A shelf made of Brick. Show your Items at the shelf!
tile.shelf.12.1,Obsidian Shelf,A shelf made of Obsidian. Show your Items at the shelf!
Arrow Mod
item.homBow.*.1,Homing Bow,The Homing Bow searches for mobs and redirect arrows into the mob. They do not care about gravity.
item.expArrow.*.1,Explosive Arrow,The Explosive arrow explodes like TNT upon impact! Give the creeper the taste of their own medicine!
item.firArrow.*.1,Fire Arrow,The Fire arrow lights objects on fire upon impact! Do not point this to your wooden house!
item.iceArrow.*.1,Ice Arrow,The Ice arrow freezes mobs and water into ice.
item.eggArrow.*.1,Egg Arrow,The egg arrow spawns Chickens upon impact and turn mobs into chickens.
item.ligArrow.*.1,Lightning Arrow,The lightning arrow spawns lightning upon impact!
tile.armorStand.*.1,Armor Stand,Show your armor here.
Recipe Book
item.recipeBook.*.1,Recipe Book,Recipe book contains all of the recipe that you can currently craft. No need to look at the wiki anymore.
item.recipeBook.*.2,Recipe Book,Recipe book contains all of the recipe that you can currently craft. Currently Superseeded by the Crafting Table II.

,,Nukularpower :  missing flood gate and light sensor if anyone has those mods installed
,,"Also not sure about shelf codes, seem to use metadata according to TMI but come up as written in CTII"

HOT AIR BALLOONS
item.rope.*.1,Rope,"String just isn't strong enough to hold a hot air balloon together, so it must be woven into rope before one can be built."
item.leatherBalloon.*.1,Leather Balloon,Sewing together 5 leather sheets in a plus-sign pattern on a crafting grid will produce this flyable balloon.  It is ready to be attached to a boat and taken to the skies!
item.hotAirBalloon.*.1,Hot Air Balloon,"This non-propelled balloon drifts along with the northerly wind. It uses little fuel, but can only travel to the north.  It must be supplied with water buckets and coal occasionially (automatically taken from the player's inventory) to remain afloat.  A propeller can be added by combining it with two iron bars.  Space ascends, C descends, and right clicking the balloon while inside will hop out.  The balloon is 4 blocks high."
item.leatherSheet.*.1,Leather Sheet,"Four pieces of leather can be combined into these leather sheets, which are in turn used to create a sky-worthy hot air balloon."
item.hotAirBalloonPropelled.*.1,Propelled Hot Air Balloon,"This propelled balloon is fully controllable by the rider, though it flies much faster with the wind (south) than against it (north.)  It uses up fuel (in the form of water buckets and coal) much faster than the nonpropelled balloon.   Space ascends, C descends, and right clicking the balloon while inside will hop out - causing the balloon to slowly descend in the direction it was travelling.  The balloon is 4 blocks high."


FIREWORKS
tile.fireworks.*.1,Fireworks,The Firework machine will make fireworks for decoration. Make sure there is no children around though as it could be dangerous!

,Credits:,mrkingster

LASER MOD
FixedLaser.0.1,Laser,"The laser is a block, which shoot a laser-beam, when you activate it.
"
FixedSensor.1.1,Sensor,"The Laser Sensor is a block, which provide power, while touching the laser-beam.
Use it for pass on signales over a long distance."
FixedReflector.2.1,Reflector,"The peculiarity of the reflector is that the laser goes through and comes out were it points. So you can pass on the laser-beam.
The redirected beam has the same properties like the source.
You can mix different laser beams and you can also put a lens on it."
FixedBlankLaser.3.1,Black Laser Device,This is a laser block with no inputs or outputs.
LaserTemp.4.1,Custom Reflector,This is a customized laser block.
tile.Lens bench.*.1,Lens bench,A special workbench for creating lenses.
Display tube.0.1,Display tube,"When a tube collides with a laser-beam, it will change the color of the connected panels
into the beam color."
Display panel.1.1,Display panel,Panel light level depends on the power of the powering beam. Panel colors depend on the beam colors.
item.Ruby.*.1,Ruby,The primary component  of all the lasers.
item.LaserDrill.*.1,Drill,You can use the drill to bore more inputs/outputs into a laser device.
item.BeamSensor.*.1,Handheld Sensor,"You build complicated laser-systems and your are unsure which properties what kind of properties your beams have?
Craft the ""handheld laser beam sensor"" to understand better the operation of the laser-beams.
Click with right-click on any laser device and it will show you the beam-properties."
item.LaserLensTemp.*.1,Lens,"Use the lens to change the color of the laser-beam and also the function, the properties, all in all the whole behavior of the beam. You can craft a lens via the ""lens bench""."

,Credits:,JonReed(Code & Actual Names & Descriptions)

WIRELESS REDSTONE
tile.wifit.*.1,Wireless Transmitter,"This block, when placed and right clicked, will open up a GUI where you can set a frequency for the transmitter, if you hook up a redstone current to it, when a receiver is set to the same frequency as the transmitter then that receiver will give out the current the transmitter is recieving."
tile.wifir.*.1,Wireless Reciever,"This block, when placed and right clicked, will open up a GUI where you can choose a frequency that a transmitter is set to, and if that transmitter is receiving a redstone current, then the receiver will output the current the transmitter is getting."
item.itemPowDir.*.1,Power Configurator,Power Configurator allows you to set which direction power from the receiver goes as well as controlling indirect powering.
item.itemSniffer.*.1,Wireless Sniffer,"Wireless Sniffer displays the state of all frequencies on a GUI 2D grid. . One ""pixel""/box each frequency."
item.itemRemote.*.1,Wireless Remote,Wireless Remote allows you to pulse the state on a set frequency for 1 second.
item.temTriang.*.1,Wireless Triangulator,"Wireless Triangulator allows you to see the direction of the closest transmitter that's transmitting on a set frequency (turned on). If two transmitters are turned on on the same frequency, the triangulator will point towards the closest one."
tile.blockClock.*.1,Wireless Clocker,"Wireless Clocker acts as a pulsating transmitter. Very useful for circuits that depends on clocks, such as multiplexers and flip-flops."

,Credits:,"ops99, pwnedgod(added descriptions for WR's addons and code names for it)"

CRAFTING TABLE II
tile.blockclevercraft.*.1,Crafting Table II,"The Crafting Table II is a Upgraded version of the normal Crafting Table. It is more user friendly plus gives description about items. They do not require you to remember any Crafting recipes, only with a simple click of touch. It is also cheap, only requiring 3 sugar canes, and a single wood block."

,Credits:,"Blueblade11 (Aww, who changed the description?), Luke"

MINE PLUS
tile.CopperOre.*.1,Copper Ore
tile.TinOre.*.1,Tin Ore
tile.TungstenOre.*.1,Tungsten Ore
tile.SapphireOre.*.1,Sapphire Ore
tile.EmeraldOre.*.1,Emerald Ore
tile.RubyOre.*.1,Ruby Ore
tile.MarbleOre.*.1,Marble Ore,Used for decorating and can be crafted into tools and GlowMarble
tile.MarbleGlow.*.1,Marble Glow

MOAR NETHER
item.NetherPickaxe.*.1,Nether Pickaxe,Really efficient at 245 uses. Almost instant mining on every block except for obsidian.
item.NetherAxe.*.1,Nether Axe,You can cut down a tree in mere seconds with this!
item.NetherShovel.*.1,Nether Shovel,Super efficient as you can dig out a large patch of grass faster than a gold shovel.
item.NetherHoe.*.1,Nether Hoe,Used for farming. Nothing much to it.
item.NetherSword.*1,Nether Sword,Useful. Deadly. One hit kill on an animal and two for monsters. Goodbye creepers ;)
item.MagmaPowder.*.1,Magma Dust,Highly explosive powder used to make the oh so deadly Nether Bomb. Dropped by Nether Herobrine
