Code name,Actual Name,Description
,,Armor and Weapons
item.bootsCloth.*.1,Leather Boots,Comfy boots for your very sensitive feet. It will protect your feet but not for long.
item.bootsCloth.*.2,Leather Boots,"These supple leather moccasins will provide minor protection for your delicate feet, and look quite stylish."
item.bootsDiamond.*.2,Diamond Boots,Your feet needs protection. This is the best protection it will ever get!
item.bootsDiamond.*.1,Diamond Boots,"How you manage to turn a pile of diamonds into a pair of shoes will forever be a mystery.  Nevertheless, these boots provide extreme protection for the fashionable and fabulous adventurer."
item.bootsGold.*.2,Gold Boots,"This will make your feet so shiny that people cant look at them. But better still, It will protect you from damage!"
item.bootsGold.*.1,Gold Boots,"These shining golden boots only provide a mediocre amount of protection and aren't very durable, but they sure do look good."
item.bootsIron.*.2,Iron Boots,"These boots are one of the best boots in minecraft. Shiny Iron boots, Do you want it?"
item.bootsIron.*.1,Iron Boots,"These plated iron greaves are quite heavy, but will provide powerful protection for your nether parts.  "
item.swordGold.*.2,Gold Sword,"This sword is not the best but its golden! GOLD! G-O-L-D GOLD! Who doesnt want a gold sword? I don't!

Please note while a gold sword looks pretty it is the least durable sword because gold is a soft material. Lasts just as long as wooden tools but destroys blocks faster."
item.swordGold.*.1,Gold Sword,"This fancy sword isn't good for much besides decoration, as it will break quite quickly when actually used to strike.  Nevertheless, what king wouldn't want a golden sword?  Golden tools are easier to enchant than other materials."
item.swordIron.*.2,Iron Sword,This sword is not the best but this is most likely the sword that will guide you through you adventures since it is hard to get Diamond.
item.swordIron.*.1,Iron Sword,This shining blade is durable and dependable.  It does good damage and will last through many battles.
item.swordDiamond.*.2,Diamond Sword,A Holy Blade is what people call it. Best sword in minecraft. So what are you waiting for? Go and get adventurin' Hero!
item.swordDiamond.*.1,Diamond Sword,"The most powerful sword, this gem-encrusted blade will smite any foe you can reach with it with minimal effort.  "
item.swordWood.*.1,Wood Sword,"Not much more than a sword-shaped tree branch, it can be used for basic self defense until you can craft something more effective."
item.swordStone.*.1,Stone Sword,An upgrade from a wooden sword. Not that bad but will come in handy if you are new to the world.
item.swordStone.*.2,Stone Sword,"While this chunk of rock on a handle isn't particularly deadly or high-tech, it is cheap to make and will serve you well when new to the world."
item.shears.*.1,Shears,Used to get wool without killing sheep. You will get more wool if you use these instead of killing the sheep. Also can be used to harvest leaves and even to trim your beard in a pinch!
item.shovelWood.*.1,Wooden shovel,"If you actually made this shovel, you probably have the intention of burying yourself."
item.shovelStone.*.1,Stone shovel,"While primitive, this stone shovel can help you move dirt or shovel snow faster than a wooden one."
item.shovelIron.*.2,Iron Shovel,"A Iron Shovel is a shovel made out of iron..Well duh! But the iron shovel is most likely to be the shovel that you will have. ( Well if you have a diamond, you can use that! )"
item.shoveliron.*.1,Iron Shovel,"A steel shovel that is quite durable and fast at removing unsightly dirt and gravel from wherever you don't want it to be, as well as shoveling up snow to make a snowman army with!"
item.shovelGold.*.1,Gold shovel,"A Gold shovel. Not the best shovel but still, who doesn't want a golden shovel, I mean seriously."
item.shovelGold.*.1,Gold Shovel,"This golden shovel is extremely fast at digging through dirt, sand, gravel, and snow, but will break quite quickly.  Gold tools are easier to enchant than other materials. "
item.shovelDiamond.*.1,Diamond shovel,Ahh! This shovel. The ruler of all the shovels! Best in speed after gold and durability! I recommend this shovel among the rest!
item.shovelDiamond.*.2,Diamond Shovel,This shovel is faster than any but a golden shovel and lasts about 300 times longer.  The best there is for flinging dirt around.
item.chestplateCloth.*.1,Leather Tunic,"This Leather Tunic will keep your mighty chest from getting injured or damaged. It will protect you, but not for long."
